20004,0,102,5,0,1,5
20004,1,105,5,0,1,5
20002,1,252,6,1,1,5
20003,0,1797,5,1,1,4
20004,2,139,6,1,1,5
20003,1,986,7,3,1,4
20006,1,315,7,3,1,4
20007,1,182,7,2,1,5
20000,1,441,8,0,1,8
20006,0,181,11,6,1,6
20002,2,180,5,0,1,5
20002,0,268,13,7,1,7
20008,1,4461,10,0,1,10
20008,2,503,11,1,1,10
20007,2,447,21,12,1,11
20005,1,806,32,19,1,16
20006,2,137,5,1,1,4
20008,0,2311,15,5,1,10
20007,0,2279,20,12,1,9
20003,2,5984,13,6,1,9
20007,3,198,11,6,1,5
20000,0,3058,38,17,1,24
20005,0,1698,46,30,1,20
20004,3,125,11,6,1,5
20001,1,4342,58,20,1,41
20002,3,231,5,0,1,5
20005,2,725,24,10,1,15
20006,3,396,11,6,1,6
20009,1,20065,64,29,1,42
20000,2,4040,54,22,1,36
20003,3,2916,19,11,1,10
20001,3,1104,13,0,1,13
20009,2,10261,53,20,1,36
20002,4,186,9,4,1,5
20007,4,132,10,5,1,5
20001,0,3408,76,32,0,50
20006,4,223,8,4,1,4
20004,4,210,18,10,1,9
20003,4,1708,6,2,1,4
20008,4,2251,12,2,1,10
20001,2,8673,75,32,0,50
20001,4,2608,19,6,1,13
20005,4,1361,37,16,1,23
20008,3,4113,57,32,1,29
20009,3,27600,74,31,0,50
20000,3,3912,64,34,1,34
20009,0,27981,73,33,0,50
20005,3,3922,68,39,1,33
20000,4,1554,53,26,1,31
20009,4,41689,82,48,0,50
