20002,0,342,5,0,1,5
20004,0,359,5,0,1,5
20009,0,1671,17,1,1,16
20006,0,521,11,5,1,7
20000,0,1813,17,6,1,12
20001,0,1459,19,5,1,15
20003,0,2328,14,7,1,8
20007,0,727,19,11,1,10
20008,0,4597,72,41,1,36
20005,0,5412,141,111,0,50
20003,1,1191,6,2,1,4
20002,1,816,12,5,1,8
20007,1,2326,8,3,1,5
20000,1,1596,23,8,1,16
20001,1,5471,19,3,1,17
20002,2,305,7,2,1,5
20008,2,2480,11,1,1,10
20007,2,557,20,12,1,9
20004,2,665,15,7,1,9
20007,3,405,6,1,1,5
20006,1,1034,34,25,1,13
20004,1,1716,45,26,1,24
20000,2,2515,52,30,1,26
20008,1,6211,58,24,1,37
20006,2,3332,24,14,1,12
20001,2,2047,37,17,1,22
20003,2,5885,47,30,1,23
20009,2,9941,97,56,0,50
20004,3,1671,35,20,1,19
20009,1,10083,101,60,0,50
20000,3,4592,38,16,1,25
20002,3,1646,38,23,1,18
20009,3,9015,95,54,0,50
20001,3,2022,36,15,1,24
20008,3,4621,45,22,1,26
20003,4,2170,4,0,1,4
20003,3,5112,35,24,1,15
20006,3,2751,33,24,1,13
20004,4,2498,15,7,1,9
20006,4,223,9,5,1,4
20008,4,1037,17,7,1,11
20005,4,1905,37,21,1,19
20005,1,8106,162,136,0,50
20005,2,6490,151,123,0,50
20002,4,3393,35,19,1,19
20000,4,3411,71,40,1,38
20009,4,9783,90,48,0,50
20007,4,2103,63,43,1,27
20001,4,5361,78,35,0,50
20005,3,4934,161,134,0,50
