9,0,3151,9,1,8,1,9,2,7,1
20004,1,542,5,0,5,0,5,0,5,1
20004,0,828,5,0,5,0,5,0,5,1
20003,0,1599,5,0,5,1,5,1,4,1
20002,1,1132,6,0,6,1,6,1,5,1
20002,0,1408,7,2,5,0,7,2,5,1
20000,1,2382,9,1,8,0,9,1,8,1
20006,0,2771,6,2,4,0,6,2,4,1
20007,1,689,11,0,11,6,11,6,5,1
9,1,4564,7,0,7,0,7,0,7,1
20001,1,4473,21,5,16,0,21,5,17,1
20007,2,1089,9,0,9,4,9,4,5,1
20008,1,6780,18,5,13,1,18,6,13,1
20003,2,2025,7,3,4,0,7,3,4,1
20000,2,5983,22,7,15,4,22,11,12,1
20007,0,2061,32,12,20,11,32,23,11,1
20002,2,1171,7,0,7,2,7,2,5,1
20006,2,641,7,1,6,2,7,3,4,1
20009,1,10452,50,12,38,7,50,19,33,1
20007,3,908,5,0,5,0,5,0,5,1
20008,0,11337,35,2,33,10,35,12,26,1
20004,3,956,5,0,5,0,5,0,5,1
9,2,13457,46,14,32,15,46,29,22,1
20009,2,23845,83,35,48,5,83,40,50,0
20003,1,14369,32,10,22,3,32,13,24,1
20001,0,17325,72,13,59,15,72,28,50,0
20000,3,2104,11,0,11,3,11,3,8,1
20004,2,2456,6,0,6,1,6,1,5,1
20001,2,6109,24,5,19,2,24,7,18,1
20000,0,15283,57,17,40,11,57,28,34,1
20000,4,1537,9,0,9,1,9,1,8,1
20002,4,1278,6,0,6,1,6,1,5,1
20008,2,7705,30,2,28,9,30,11,20,1
20008,3,7648,21,4,17,0,21,4,19,1
20005,3,3232,41,0,41,28,41,28,18,1
20002,3,4854,28,8,20,8,28,16,14,1
20009,0,21679,72,26,46,2,72,28,50,0
20003,3,2343,5,1,4,0,5,1,4,1
20006,3,589,7,1,6,2,7,3,4,1
20006,4,1126,8,1,7,3,8,4,4,1
9,3,5364,10,0,10,3,10,3,7,1
20005,0,16163,141,65,76,42,141,107,50,0
20005,1,12653,159,33,126,96,159,129,50,0
20009,3,22409,79,26,53,7,79,33,50,0
20006,1,511,4,0,4,0,4,0,4,1
20001,4,4405,19,4,15,2,19,6,13,1
20005,2,13703,130,49,81,43,130,92,50,0
20009,4,19306,81,28,53,8,81,36,50,0
20004,4,653,6,1,5,0,6,1,5,1
20001,3,14430,83,31,52,10,83,41,50,0
20003,4,12809,48,19,29,9,48,28,26,1
9,4,17173,56,12,44,19,56,31,28,1
20007,4,2266,24,0,24,15,24,15,10,1
20008,4,3478,23,7,16,5,23,12,13,1
20005,4,15942,144,41,103,70,144,111,50,0
2,0,515,5,0,5,1,5,1,4,1
2,1,972,6,0,6,2,6,2,4,1
6,1,3194,9,0,9,0,9,0,9,1
8,0,2684,4,0,4,0,4,0,4,1
8,1,1184,11,1,10,6,11,7,4,1
2,2,2071,11,5,6,0,11,5,7,1
7,1,504,8,3,5,1,8,4,4,1
3,1,1245,13,6,7,0,13,6,8,1
5,1,2522,24,11,13,2,24,13,13,1
10,1,1293,13,2,11,5,13,7,6,1
5,0,2703,26,5,21,5,26,10,18,1
2,3,998,4,0,4,0,4,0,4,1
3,2,1483,16,0,16,7,16,7,10,1
8,2,1141,7,0,7,3,7,3,4,1
3,3,801,6,0,6,1,6,1,5,1
5,2,2472,25,5,20,5,25,10,17,1
6,0,7755,38,6,32,8,38,14,26,1
5,3,1141,8,0,8,1,8,1,7,1
8,3,1332,4,0,4,0,4,0,4,1
10,2,2391,13,5,8,2,13,7,7,1
3,0,5180,41,11,30,14,41,25,20,1
2,4,813,6,0,6,2,6,2,4,1
7,0,1745,14,5,9,3,14,8,7,1
5,4,940,7,0,7,0,7,0,7,1
10,3,1603,21,6,15,9,21,15,8,1
6,2,10437,51,12,39,11,51,23,31,1
7,2,836,4,0,4,0,4,0,4,1
3,4,2056,18,1,17,8,18,9,10,1
6,4,6585,25,10,15,0,25,10,16,1
8,4,3041,21,3,18,9,21,12,11,1
7,4,1133,8,2,6,2,8,4,4,1
10,4,1625,12,3,9,3,12,6,6,1
6,3,21968,82,19,63,18,82,37,50,1
7,3,812,9,1,8,4,9,5,4,1
10,0,14415,117,37,80,43,117,80,49,1
0,0,17450,196,101,95,75,196,176,50,0
0,2,20819,181,103,78,49,181,152,50,0
1,2,887,5,0,5,1,5,1,4,1
0,1,17859,202,101,101,83,202,184,50,0
0,3,20646,185,102,83,57,185,159,50,0
1,1,1282,16,6,10,4,16,10,7,1
1,3,1170,16,4,12,5,16,9,8,1
0,4,16326,208,109,99,78,208,187,50,0
1,0,6910,45,16,29,17,45,33,17,1
1,4,946,6,2,4,0,6,2,4,1
