20004,1,599,5,0,1,5
20002,1,775,5,0,1,5
20004,2,652,7,2,1,5
20007,0,748,10,5,1,5
20006,0,828,12,6,1,7
20002,0,1842,15,6,1,10
20006,1,1350,15,8,1,8
20007,1,783,12,6,1,7
20004,0,3005,14,5,1,10
20000,1,2961,21,7,1,15
20000,2,3500,24,10,1,16
20003,1,4086,22,15,1,8
20001,0,2744,20,6,1,15
20001,1,1982,20,7,1,13
20007,2,1702,24,15,1,11
20006,2,785,6,2,1,4
20008,1,3198,35,16,1,21
20003,0,9725,29,16,1,16
20000,0,3091,33,16,1,20
20001,2,2115,15,2,1,13
20002,2,1909,19,11,1,9
20002,3,909,5,0,1,5
20007,3,1186,15,8,1,8
20003,3,1964,9,5,1,4
20008,2,1369,13,3,1,10
20008,3,3397,10,0,1,10
20008,0,8644,45,18,1,30
20007,4,636,9,4,1,5
20004,3,4506,31,16,1,19
20003,2,10973,49,31,1,23
20006,3,1119,20,14,1,8
20009,1,19260,77,33,0,50
20009,0,18753,86,45,0,50
20004,4,1494,16,9,1,8
20002,4,1957,14,5,1,10
20005,0,7528,72,47,1,31
20000,4,947,8,0,1,8
20009,2,16375,98,56,0,50
20009,3,14002,84,40,0,50
20000,3,3768,34,16,1,20
20006,4,1151,23,16,1,9
20009,4,15297,91,48,0,50
20005,2,7362,83,59,1,33
20001,3,11267,78,35,0,50
20003,4,19732,53,26,1,36
20005,1,14108,131,96,0,50
20005,3,8713,145,111,0,50
20001,4,10404,44,15,1,32
20008,4,14841,80,37,0,50
20005,4,10494,128,92,0,50
