20004,1,790,6,1,5,0,6,1,5,1
20007,0,1280,5,0,5,0,5,0,5,1
20004,0,1142,7,0,7,2,7,2,5,1
20002,0,1887,5,0,5,0,5,0,5,1
20003,1,2543,6,2,4,0,6,2,4,1
20002,1,1821,6,1,5,0,6,1,5,1
20004,2,887,8,3,5,0,8,3,5,1
20006,1,875,8,1,7,3,8,4,4,1
20006,0,2959,4,0,4,0,4,0,4,1
20003,0,5276,14,4,10,3,14,7,8,1
20007,2,1375,15,5,10,3,15,8,8,1
20005,1,2865,22,4,18,5,22,9,13,1
20002,2,1890,7,0,7,2,7,2,5,1
20001,1,7809,34,0,34,10,34,10,25,1
20007,1,1467,25,5,20,13,25,18,9,1
20008,0,10075,31,6,25,7,31,13,21,1
20003,2,4826,11,0,11,4,11,4,8,1
20000,1,7188,35,13,22,3,35,16,21,1
20000,0,9198,41,11,30,10,41,21,23,1
20006,2,1138,8,4,4,0,8,4,4,1
20007,3,955,7,0,7,2,7,2,5,1
20009,1,5388,20,2,18,2,20,4,16,1
20004,3,976,5,0,5,0,5,0,5,1
20002,3,1003,5,0,5,0,5,0,5,1
20000,2,10813,55,23,32,7,55,30,29,1
20008,2,4187,31,16,15,2,31,18,15,1
20009,0,22442,84,32,52,6,84,38,50,0
20008,3,2640,12,0,12,2,12,2,10,1
20006,3,1000,5,0,5,1,5,1,4,1
20004,4,632,5,0,5,0,5,0,5,1
20003,3,4825,12,3,9,2,12,5,8,1
20005,2,5651,38,10,28,11,38,21,18,1
20001,2,9962,41,3,38,11,41,14,29,1
20007,4,1539,13,5,8,2,13,7,7,1
20008,1,8917,60,22,38,12,60,34,30,1
20000,4,2313,13,3,10,2,13,5,8,1
20001,3,4820,27,7,20,3,27,10,18,1
20001,0,19166,83,27,56,15,83,42,48,1
20002,4,2147,13,5,8,2,13,7,7,1
20000,3,6615,42,4,38,19,42,23,21,1
20006,4,3054,14,6,8,1,14,7,8,1
20008,4,3072,12,1,11,1,12,2,10,1
20009,3,20392,73,21,52,12,73,33,44,1
20003,4,12399,33,16,17,1,33,17,20,1
20005,3,8595,54,19,35,8,54,27,30,1
20009,2,31530,75,27,48,5,75,32,50,0
20001,4,7013,14,1,13,0,14,1,13,1
20005,0,13783,125,61,64,23,125,84,50,0
20009,4,23109,66,10,56,12,66,22,47,1
20005,4,13851,62,22,40,12,62,34,32,1
9,4,4306,9,1,8,1,9,2,7,1
9,1,3531,11,2,9,2,11,4,7,1
9,2,12541,30,7,23,8,30,15,17,1
9,0,38164,105,30,75,38,105,68,50,0
9,3,35773,101,33,68,31,101,64,48,1
8,1,1579,4,0,4,0,4,0,4,1
8,0,1379,4,0,4,0,4,0,4,1
5,1,1038,7,0,7,0,7,0,7,1
2,1,1316,6,0,6,2,6,2,4,1
3,1,1031,5,0,5,0,5,0,5,1
5,0,3770,8,1,7,0,8,1,7,1
10,1,1712,13,2,11,5,13,7,6,1
2,2,1918,14,4,10,4,14,8,7,1
5,2,2869,15,5,10,0,15,5,11,1
2,0,1452,14,0,14,8,14,8,7,1
8,2,1246,8,2,6,2,8,4,4,1
3,2,1176,6,0,6,1,6,1,5,1
6,2,5050,20,5,15,0,20,5,16,1
2,3,920,6,0,6,2,6,2,4,1
5,3,1264,12,3,9,2,12,5,7,1
6,1,10325,44,21,23,0,44,21,27,1
7,2,1124,9,5,4,0,9,5,4,1
3,3,884,8,1,7,2,8,3,5,1
10,2,1795,15,1,14,8,15,9,6,1
7,1,979,7,2,5,1,7,3,4,1
10,0,7607,25,9,16,5,25,14,13,1
2,4,1597,18,6,12,6,18,12,7,1
5,4,1956,17,7,10,0,17,7,11,1
8,4,1027,4,0,4,0,4,0,4,1
8,3,4032,29,15,14,4,29,19,13,1
3,4,1553,10,1,9,4,10,5,5,1
3,0,9467,39,10,29,11,39,21,22,1
6,0,17432,59,25,34,5,59,30,33,1
7,0,956,4,0,4,0,4,0,4,1
10,4,3242,8,0,8,2,8,2,6,1
6,4,10323,37,14,23,1,37,15,24,1
6,3,14814,50,7,43,14,50,21,32,1
10,3,2428,23,6,17,10,23,16,9,1
7,4,3207,21,6,15,8,21,14,9,1
7,3,3725,27,6,21,11,27,17,12,1
0,2,20819,199,107,92,72,199,179,50,0
0,0,15556,205,106,99,81,205,187,50,0
0,1,20790,196,113,83,61,196,174,50,0
1,2,1163,14,3,11,6,14,9,6,1
0,3,18311,201,102,99,76,201,178,50,0
1,0,2638,21,6,15,7,21,13,10,1
1,1,1780,30,10,20,12,30,22,10,1
0,4,19410,192,93,99,76,192,169,50,0
1,3,2997,20,5,15,8,20,13,8,1
1,4,2458,7,1,6,2,7,3,4,1
