0,0,1255,4,0,4,0,4,0,4,1
1,0,11667,32,5,27,5,32,10,24,1
2,0,7600,35,12,23,5,35,17,21,1
3,0,3148,7,0,7,2,7,2,5,1
4,0,2625,14,4,10,0,14,4,10,1
5,0,6014,19,3,16,1,19,4,15,1
6,0,4405,6,0,6,2,6,2,5,1
7,0,8778,34,10,24,4,34,14,22,1
8,0,2508,12,1,11,5,12,6,7,1
9,0,7762,30,11,19,0,30,11,21,1
0,2,910,4,0,4,0,4,0,4,1
0,3,761,4,0,4,0,4,0,4,1
8,2,1349,4,0,4,0,4,0,4,1
8,3,1736,6,2,4,0,6,2,4,1
0,1,841,6,0,6,2,6,2,4,1
3,3,2605,5,0,5,0,5,0,5,1
2,3,2029,6,0,6,0,6,0,6,1
6,2,2444,6,0,6,3,6,3,3,1
3,1,2489,5,0,5,0,5,0,5,1
6,1,4466,8,0,8,4,8,4,5,1
8,1,916,11,6,5,1,11,7,4,1
3,2,4849,15,5,10,1,15,6,10,1
5,1,5686,16,1,15,0,16,1,15,1
2,1,5744,19,7,12,1,19,8,12,1
4,2,3086,19,5,14,0,19,5,15,1
6,3,17548,23,1,22,10,23,11,19,1
7,3,9604,39,15,24,1,39,16,25,1
2,2,6930,42,18,24,4,42,22,23,1
4,3,7872,43,8,35,8,43,16,29,1
9,3,20933,45,14,31,2,45,16,34,1
9,1,13917,47,18,29,0,47,18,33,1
7,2,12951,54,19,35,5,54,24,34,1
5,2,15471,73,24,49,0,73,24,53,1
7,1,23845,89,39,50,1,89,40,58,1
9,2,26500,83,31,52,1,83,32,59,1
4,1,25724,140,49,91,10,140,59,91,1
5,3,35733,143,41,102,11,143,52,100,0
1,2,43432,147,39,108,19,147,58,100,0
1,3,48824,137,36,101,13,137,49,100,0
1,1,43029,149,40,109,21,149,61,100,0
0,2,910,4,0,4,0,4,0,4,1
0,0,1255,4,0,4,0,4,0,4,1
8,2,1349,4,0,4,0,4,0,4,1
8,3,1736,6,2,4,0,6,2,4,1
0,3,761,4,0,4,0,4,0,4,1
0,1,841,6,0,6,2,6,2,4,1
3,3,2605,5,0,5,0,5,0,5,1
2,3,2029,6,0,6,0,6,0,6,1
6,2,2444,6,0,6,3,6,3,3,1
3,1,2489,5,0,5,0,5,0,5,1
3,0,3148,7,0,7,2,7,2,5,1
8,1,916,11,6,5,1,11,7,4,1
6,0,4405,6,0,6,2,6,2,5,1
6,1,4466,8,0,8,4,8,4,5,1
10,2,2222,8,1,7,2,8,3,5,1
8,0,2508,12,1,11,5,12,6,7,1
14,0,2540,10,0,10,1,10,1,9,1
13,3,1343,6,0,6,1,6,1,5,1
4,0,2625,14,4,10,0,14,4,10,1
13,2,2069,14,5,9,0,14,5,10,1
3,2,4849,15,5,10,1,15,6,10,1
14,1,6638,16,5,11,0,16,5,12,1
5,1,5686,16,1,15,0,16,1,15,1
4,2,3086,19,5,14,0,19,5,15,1
12,1,8170,17,2,15,1,17,3,14,1
2,1,5744,19,7,12,1,19,8,12,1
10,0,4863,16,10,6,1,16,11,7,1
10,1,2853,18,9,9,4,18,13,6,1
13,1,3849,23,10,13,0,23,10,15,1
5,0,6014,19,3,16,1,19,4,15,1
13,0,4340,28,12,16,3,28,15,15,1
6,3,17548,23,1,22,10,23,11,19,1
9,0,7762,30,11,19,0,30,11,21,1
7,0,8778,34,10,24,4,34,14,22,1
1,0,11667,32,5,27,5,32,10,24,1
2,0,7600,35,12,23,5,35,17,21,1
7,3,9604,39,15,24,1,39,16,25,1
2,2,6930,42,18,24,4,42,22,23,1
4,3,7872,43,8,35,8,43,16,29,1
9,3,20933,45,14,31,2,45,16,34,1
9,1,13917,47,18,29,0,47,18,33,1
7,2,12951,54,19,35,5,54,24,34,1
11,2,15393,75,46,29,0,75,46,37,1
5,2,15471,73,24,49,0,73,24,53,1
11,1,9636,74,46,28,5,74,51,31,1
10,3,11801,67,59,8,3,67,62,16,1
7,1,23845,89,39,50,1,89,40,58,1
9,2,26500,83,31,52,1,83,32,59,1
14,2,28512,96,45,51,5,96,50,57,1
4,1,25724,140,49,91,10,140,59,91,1
5,3,35733,143,41,102,11,143,52,100,0
1,3,48824,137,36,101,13,137,49,100,0
1,2,43432,147,39,108,19,147,58,100,0
14,3,49825,142,49,93,13,142,62,100,0
1,1,43029,149,40,109,21,149,61,100,0
12,2,57419,174,74,100,15,174,89,100,0
12,0,63190,171,59,112,26,171,85,100,0
12,3,61766,195,84,111,28,195,112,100,0
11,3,32921,221,144,77,7,221,151,93,1
11,0,37444,237,144,93,17,237,161,100,0
