0,2,122,4,0,4,0,4,0,4,1
8,2,218,4,0,4,0,4,0,4,1
6,2,2085,6,0,6,3,6,3,3,1
2,2,2256,6,0,6,0,6,0,6,1
10,2,524,9,3,6,1,9,4,5,1
5,1,2416,16,0,16,1,16,1,15,1
13,1,2159,17,6,11,2,17,8,10,1
9,1,1928,20,5,15,0,20,5,16,1
7,2,1306,11,2,9,0,11,2,9,1
7,1,1509,23,8,15,1,23,9,15,1
1,1,2070,25,5,20,2,25,7,19,1
3,2,1618,14,5,9,2,14,7,8,1
19,1,4363,22,10,12,0,22,10,13,1
8,1,271,4,0,4,0,4,0,4,1
6,1,6096,7,0,7,2,7,2,7,1
3,1,5304,26,10,16,0,26,10,19,1
14,1,844,9,0,9,0,9,0,9,1
2,1,566,6,0,6,0,6,0,6,1
22,2,505,3,0,3,0,3,0,3,1
10,1,575,10,0,10,5,10,5,5,1
16,2,392,7,0,7,0,7,0,7,1
1,2,4030,49,16,33,2,49,18,34,1
4,2,3818,59,17,42,6,59,23,40,1
9,2,3440,48,7,41,12,48,19,32,1
4,1,3111,25,5,20,1,25,6,20,1
11,1,2300,63,23,40,6,63,29,38,1
23,2,3227,55,17,38,10,55,27,32,1
5,2,4573,27,5,22,1,27,6,23,1
24,2,2306,60,26,34,5,60,31,32,1
17,1,3802,84,28,56,22,84,50,41,1
14,2,14730,69,23,46,7,69,30,46,1
17,2,2472,62,23,39,11,62,34,33,1
23,1,10083,118,45,73,12,118,57,68,1
3,3,718,5,0,5,0,5,0,5,1
20,2,55431,90,10,80,1,90,11,100,0
18,1,2196,41,16,25,2,41,18,25,1
13,3,630,5,0,5,0,5,0,5,1
20,1,59793,90,11,79,0,90,11,100,0
9,3,3377,27,10,17,1,27,11,18,1
17,3,515,11,1,10,4,11,5,6,1
21,2,1597,43,22,21,2,43,24,22,1
10,3,443,7,2,5,0,7,2,5,1
1,3,11153,62,16,46,1,62,17,50,1
12,1,13395,101,44,57,9,101,53,55,1
15,1,20764,165,79,86,2,165,81,100,0
11,2,9163,174,79,95,10,174,89,100,0
23,3,1311,19,4,15,1,19,5,14,1
11,3,2864,48,16,32,8,48,24,28,1
7,3,7697,59,31,28,0,59,31,34,1
16,1,1527,7,0,7,0,7,0,7,1
0,1,147,4,0,4,0,4,0,4,1
4,3,7011,81,24,57,6,81,30,56,1
8,3,835,14,8,6,0,14,8,7,1
15,3,5977,55,19,36,2,55,21,37,1
5,3,9267,70,14,56,1,70,15,59,1
12,2,26299,171,73,98,14,171,87,100,0
2,3,992,25,1,24,10,25,11,16,1
18,2,9501,181,90,91,9,181,99,100,0
21,1,9409,242,170,72,6,242,176,100,0
6,3,10203,9,2,7,0,9,2,11,1
22,1,323,3,0,3,0,3,0,3,1
14,3,11867,82,35,47,0,82,35,57,1
13,2,2365,24,10,14,1,24,11,15,1
16,3,4147,35,19,16,0,35,19,20,1
18,3,7592,86,34,52,4,86,38,53,1
15,2,22205,159,68,91,7,159,75,100,0
24,3,10477,107,48,59,11,107,59,56,1
0,3,132,4,0,4,0,4,0,4,1
12,3,20287,172,79,93,8,172,87,100,0
24,1,13464,230,120,110,33,230,153,100,0
21,3,13478,240,170,70,0,240,170,100,0
22,3,303,3,0,3,0,3,0,3,1
19,3,12505,400,364,36,9,400,373,100,1
20,3,58669,95,15,80,0,95,15,100,0
19,2,10890,463,439,24,13,463,452,100,0
