2,1,960,4,0,4,0,4,0,4,1
5261,0,1390,4,0,4,0,4,0,4,1
20006,1,869,5,0,5,1,5,1,4,1
7,1,946,7,2,5,1,7,3,4,1
2,0,867,5,0,5,1,5,1,4,1
6140,0,1792,8,3,5,1,8,4,4,1
5261,1,1437,5,1,4,0,5,1,4,1
5880,0,1254,6,1,5,0,6,1,5,1
6131,0,1230,7,0,7,1,7,1,6,1
7,0,853,8,3,5,1,8,4,4,1
5772,0,3039,9,0,9,1,9,1,8,1
20007,1,785,10,0,10,5,10,5,5,1
5877,0,2760,5,0,5,1,5,1,4,1
20007,0,996,13,3,10,5,13,8,5,1
6014,1,1192,14,4,10,5,14,9,5,1
5262,1,2389,10,2,8,0,10,2,8,1
20006,0,834,12,3,9,5,12,8,4,1
20003,0,4930,9,0,9,2,9,2,8,1
20003,1,4614,12,3,9,2,12,5,8,1
5630,0,4184,21,2,19,10,21,12,10,1
5629,1,2549,16,7,9,2,16,9,8,1
20005,0,4743,19,4,15,2,19,6,13,1
6135,1,1284,9,0,9,1,9,1,8,1
5126,1,2673,20,0,20,2,20,2,18,1
5771,1,1173,10,2,8,1,10,3,7,1
5767,1,2861,22,8,14,3,22,11,12,1
6130,1,3053,12,2,10,1,12,3,9,1
5884,0,2301,24,11,13,4,24,15,11,1
5626,0,6488,22,6,16,1,22,7,17,1
6137,0,1999,15,1,14,2,15,3,12,1
5134,1,1809,9,0,9,1,9,1,8,1
5270,1,741,5,0,5,0,5,0,5,1
6006,1,764,4,0,4,0,4,0,4,1
6014,0,4399,24,13,11,1,24,14,12,1
5270,0,1898,9,0,9,4,9,4,5,1
5380,0,3797,25,1,24,7,25,8,18,1
20002,1,1494,9,0,9,4,9,4,5,1
5767,0,7973,24,9,15,3,24,12,13,1
5627,0,1521,13,4,9,1,13,5,8,1
5630,1,8562,27,4,23,12,27,16,13,1
5375,1,849,16,0,16,10,16,10,7,1
5759,0,2415,21,1,20,6,21,7,15,1
5381,1,1763,7,0,7,0,7,0,7,1
5126,0,5863,36,5,31,0,36,5,32,1
5501,1,1389,7,0,7,3,7,3,4,1
5627,1,4496,27,9,18,2,27,11,18,1
5771,0,4386,23,11,12,1,23,12,13,1
6142,0,794,5,0,5,1,5,1,4,1
5255,1,9893,41,14,27,5,41,19,24,1
5755,0,13316,31,11,20,1,31,12,23,1
5629,0,7898,35,11,24,9,35,20,18,1
6131,1,3324,34,11,23,7,34,18,18,1
5262,0,7687,35,15,20,2,35,17,21,1
5379,0,2988,41,11,30,21,41,32,14,1
6141,1,5913,43,26,17,2,43,28,20,1
5135,1,3731,18,6,12,1,18,7,12,1
5269,0,9067,47,19,28,7,47,26,25,1
5379,1,3948,41,8,33,22,41,30,14,1
5763,0,4434,5,0,5,1,5,1,4,1
6129,1,1143,7,0,7,0,7,0,7,1
5133,0,7792,27,1,26,6,27,7,21,1
5763,1,2981,6,1,5,1,6,2,4,1
6128,1,4730,10,0,10,1,10,1,10,1
5631,0,1137,8,0,8,4,8,4,4,1
