60000,1,2909,12,0,12,3,12,3,9,1
60035,1,2837,13,0,13,2,13,2,11,1
60041,0,1577,15,5,10,0,15,5,11,1
60000,0,1354,17,5,12,0,17,5,13,1
60055,0,991,16,0,16,6,16,6,11,1
60015,1,2873,12,2,10,1,12,3,9,1
60020,1,3284,19,0,19,2,19,2,18,1
60075,0,3566,23,1,22,9,23,10,14,1
60065,0,3242,35,17,18,1,35,18,20,1
60005,1,5285,31,3,28,4,31,7,25,1
60016,1,388,7,0,7,0,7,0,7,1
60010,1,12406,28,5,23,1,28,6,27,1
60060,0,3656,35,15,20,2,35,17,22,1
60085,0,3679,36,10,26,6,36,16,23,1
60010,0,4664,36,10,26,1,36,11,27,1
60005,0,5910,40,8,32,6,40,14,28,1
60030,0,11671,24,7,17,0,24,7,21,1
60090,0,23225,47,4,43,3,47,7,50,0
60015,0,8275,49,15,34,2,49,17,37,1
60001,0,1215,29,5,24,3,29,8,21,1
60035,0,7227,43,12,31,6,43,18,27,1
60030,1,13534,53,14,39,10,53,24,35,1
60020,0,13080,64,14,50,8,64,22,48,1
60045,1,10615,59,14,45,5,59,19,45,1
60045,0,10430,71,25,46,3,71,28,50,0
60016,0,1866,19,5,14,3,19,8,12,1
60050,0,17943,83,25,58,16,83,41,50,0
60056,0,42111,54,12,42,13,54,25,50,0
60095,0,4572,90,35,55,14,90,49,50,0
60042,0,7903,64,16,48,14,64,30,39,1
60080,0,14385,90,43,47,6,90,49,50,0
60086,0,8514,50,21,29,10,50,31,26,1
60017,1,7008,51,15,36,1,51,16,37,1
60040,1,12107,96,59,37,0,96,59,50,0
60025,0,14159,71,4,67,23,71,27,50,0
60025,1,8907,79,21,58,16,79,37,49,1
60051,0,5272,15,0,15,4,15,4,12,1
60036,1,8599,78,34,44,15,78,49,38,1
60046,0,1232,30,7,23,4,30,11,20,1
60041,1,1255,10,0,10,1,10,1,9,1
60018,1,666,11,1,10,1,11,2,9,1
60001,1,4328,102,44,58,15,102,59,50,0
60061,0,6664,62,10,52,13,62,23,42,1
60021,1,23729,76,30,46,4,76,34,50,0
60057,0,3192,18,6,12,0,18,6,13,1
60070,0,29632,83,20,63,24,83,44,49,1
60006,1,24075,80,34,46,4,80,38,50,0
60091,0,8396,61,24,37,6,61,30,36,1
60011,1,5950,96,41,55,13,96,54,50,0
60076,0,6798,109,70,39,1,109,71,50,0
60011,0,9821,61,13,48,9,61,22,41,1
60042,1,2861,12,0,12,0,12,0,12,1
60031,1,7962,57,31,26,9,57,40,23,1
60019,1,3783,12,0,12,0,12,0,13,1
60002,0,4106,82,31,51,11,82,42,44,1
60077,0,4184,7,1,6,0,7,1,6,1
60006,0,18103,75,35,40,10,75,45,38,1
60096,0,9538,50,15,35,1,50,16,38,1
60066,0,14073,126,72,54,19,126,91,50,0
60052,0,18453,31,4,27,5,31,9,24,1
60036,0,14473,82,29,53,15,82,44,50,0
60046,1,8126,74,28,46,2,74,30,50,0
60012,1,3553,19,5,14,0,19,5,15,1
60017,0,4771,78,24,54,10,78,34,50,0
60026,1,6522,71,23,48,4,71,27,50,0
60058,0,11638,39,6,33,9,39,15,27,1
60022,1,9166,34,10,24,0,34,10,26,1
60037,1,13242,51,12,39,10,51,22,35,1
60026,0,11891,65,18,47,2,65,20,50,0
60007,0,1519,31,0,31,9,31,9,23,1
60012,0,3933,33,8,25,6,33,14,21,1
60062,0,5687,59,12,47,7,59,19,43,1
60018,0,2410,10,0,10,1,10,1,9,1
60060,1,4207,36,9,27,10,36,19,20,1
60092,0,7208,50,4,46,16,50,20,34,1
60067,0,3821,21,4,17,4,21,8,15,1
60097,0,12491,24,2,22,3,24,5,21,1
60023,1,2628,11,0,11,1,11,1,10,1
60050,1,14153,80,17,63,19,80,36,50,0
60031,0,20574,111,55,56,18,111,73,50,0
60087,0,14938,73,26,47,5,73,31,50,0
60078,0,6224,40,13,27,13,40,26,17,1
60021,0,25757,117,62,55,17,117,79,50,0
60093,0,3276,13,0,13,1,13,1,13,1
60002,1,5418,95,42,53,13,95,55,50,0
60008,0,3636,17,5,12,5,17,10,8,1
60055,1,3459,64,20,44,14,64,34,36,1
60032,0,2595,17,0,17,3,17,3,14,1
60032,1,10378,72,25,47,3,72,28,50,0
60027,1,3870,49,17,32,1,49,18,35,1
60051,1,3523,18,1,17,5,18,6,13,1
60003,0,8979,69,13,56,11,69,24,49,1
60081,0,4403,138,101,37,2,138,103,50,0
60007,1,6280,79,26,53,9,79,35,50,0
60088,0,2723,19,3,16,4,19,7,12,1
60053,0,33831,50,9,41,11,50,20,44,1
60073,0,49018,29,0,29,0,29,0,50,0
60013,1,18460,57,3,54,13,57,16,49,1
60033,1,1717,16,3,13,5,16,8,8,1
60037,0,21977,46,7,39,3,46,10,43,1
60008,1,1284,13,5,8,1,13,6,8,1
60004,0,1215,17,5,12,0,17,5,13,1
60063,0,3157,64,13,51,7,64,20,46,1
60027,0,8749,63,16,47,2,63,18,50,0
60079,0,6052,40,1,39,10,40,11,31,1
